"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"91","175",34710,39830,1.9997984202526,1.54934896375524,"aug",0,1,1853.97103026271,36563.9710302627,3266.02896973729
"92","176",33340,39250,0.765418668352668,0.557725789395504,"aug",0,1,1820.2374249286,35160.2374249286,4089.7625750714
"93","18",34040,38750,1.39612365107526,-0.297121774707722,"aug",0,1,1794.0710952528,35834.0710952528,2915.9289047472
"94","19",33090,38920,0.540166888808884,-0.00647360291262249,"aug",0,1,1782.488983219,34872.488983219,4047.511016781
"95","197",32500,38860,0.00857268908555142,-0.109055310605014,"aug",0,1,1751.83866116307,34251.8386611631,4608.16133883693
"96","198",32510,38310,0.017582760267301,-1.04938763111856,"aug",0,1,1532.18750411515,34042.1875041152,4267.81249588485
"97","199",32470,38190,-0.0184575244597037,-1.25455104650334,"aug",0,1,1480.85281582639,33950.8528158264,4239.14718417361
"98","20",32190,38790,-0.270739517548742,-0.228733969579466,"aug",0,1,1593.06816621884,33783.0681662188,5006.93183378116
"99","200",32390,38750,-0.0905380939137129,-0.297121774707722,"aug",0,1,1630.52109214022,34020.5210921402,4729.47890785978
"100","209",34280,39580,1.61236535943729,1.12192518170363,"aug",0,1,2008.28196037149,36288.2819603715,3291.71803962851
"101","210",32370,38930,-0.108558236277218,0.0106233483694386,"aug",0,1,1753.97011727665,34123.9701172767,4806.02988272335
"102","211",31850,39020,-0.577081937728285,0.164495909908025,"aug",0,1,1650.43647289541,33500.4364728954,5519.56352710459
"103","212",31860,38500,-0.568071866546536,-0.724545556759335,"aug",0,1,1485.91602642612,33345.9160264261,5154.08397357388
"104","233",31930,38480,-0.505001368274276,-0.75873945932347,"aug",0,1,1489.04279577577,33419.0427957758,5060.95720422423
"105","234",32230,38590,-0.234699232821738,-0.570672995220749,"aug",0,1,1565.97685424864,33795.9768542486,4794.02314575137
"106","235",32280,38840,-0.189648876912977,-0.143249213169136,"aug",0,1,1670.71932794833,33950.7193279483,4889.28067205167
"107","236",32010,38200,-0.432920798820267,-1.23745409522127,"aug",0,1,1458.33602991245,33468.3360299124,4731.66397008755
"108","245",32350,38210,-0.126578378640718,-1.2203571439392,"aug",0,1,1477.03057861599,33827.030578616,4382.969421384
"109","246",32810,39660,0.287884895719845,1.25870079196014,"aug",0,1,1828.56868132404,34638.568681324,5021.43131867595
"110","247",32210,39090,-0.252719375185237,0.284174568882477,"aug",0,1,1762.20516700905,33972.2051670091,5117.79483299095
"111","248",31460,39500,-0.928474713816588,0.985149571447117,"aug",0,1,1764.36773007168,33224.3677300717,6275.63226992832
"112","257",31950,40000,-0.486981225910773,1.83999713555034,"aug",0,1,1825.52623317887,33775.5262331789,6224.47376682113
"113","258",32160,40000,-0.297769731093998,1.83999713555034,"aug",0,1,1833.31347410566,33993.3134741056,6006.68652589435
"114","259",32020,38800,-0.423910727638511,-0.211637018297405,"aug",0,1,1573.67325054805,33593.6732505481,5206.32674945195
"115","260",32070,39090,-0.378860371729756,0.284174568882477,"aug",0,1,1757.37746048568,33827.3774604857,5262.62253951432
"116","269",32210,39270,-0.252719375185237,0.591919691959638,"aug",0,1,1774.53311953218,33984.5331195322,5285.46688046782
"117","270",31610,38760,-0.793323646090319,-0.280024823425661,"aug",0,1,1546.33459433845,33156.3345943384,5603.66540566155
"118","271",31910,39390,-0.523021510637778,0.797083107344408,"aug",0,1,1771.95410355648,33681.9541035565,5708.04589644352
"119","272",32110,38810,-0.342820087002752,-0.194540067015331,"aug",0,1,1585.83865130839,33695.8386513084,5114.1613486916
"120","29",32890,38560,0.359965465173855,-0.621963849066944,"aug",0,1,1673.28397951484,34563.2839795148,3996.71602048516
"121","30",32160,38670,-0.297769731093998,-0.433897384964236,"aug",0,1,1568.32190880407,33728.3219088041,4941.67809119594
"122","306",32150,39270,-0.306779802275747,0.591919691959638,"aug",0,1,1770.848979094,33920.848979094,5349.151020906
"123","307",31020,38410,-1.32491784581365,-0.878418118297922,"aug",0,1,1207.25499702675,32227.2549970268,6182.74500297325
"124","308",31490,39080,-0.901444500271336,0.267077617600404,"aug",0,1,1580.47562449599,33070.475624496,6009.52437550401
"125","31",35670,40000,2.86476525370073,1.83999713555034,"aug",0,1,1830.00004052699,37500.000040527,2499.99995947301
"126","317",31600,39070,-0.802333717272069,0.249980666318343,"aug",0,1,1596.59346093553,33196.5934609355,5873.40653906447
"127","318",31750,39040,-0.6671826495458,0.198689812472147,"aug",0,1,1624.78779175638,33374.7877917564,5665.21220824362
"128","319",32660,39470,0.15273382799357,0.933858717600921,"aug",0,1,1805.34594575752,34465.3459457575,5004.65405424248
"129","32",33960,39410,1.32404308162125,0.83127700990853,"aug",0,1,1934.35963058773,35894.3596305877,3515.64036941226
"130","320",31900,38940,-0.532031581819531,0.0277202996514998,"aug",0,1,1601.75035984275,33501.7503598427,5438.24964015726
"131","329",31580,39030,-0.820353859635574,0.181592861190086,"aug",0,1,1578.40700456391,33158.4070045639,5871.59299543609
"132","330",32140,39110,-0.315789873457497,0.3183684714466,"aug",0,1,1761.65395459758,33901.6539545976,5208.34604540242
"133","331",31930,38730,-0.505001368274276,-0.331315677271857,"aug",0,1,1566.03929025976,33496.0392902598,5233.96070974023
"134","341",31460,38940,-0.928474713816588,0.0277202996514998,"aug",0,1,1565.5950038703,33025.5950038703,5914.40499612971
"135","342",31370,38910,-1.00956535445235,-0.0235705541946958,"aug",0,1,1557.17753103452,32927.1775310345,5982.82246896547
"136","343",31160,38840,-1.19877684926913,-0.143249213169136,"aug",0,1,1490.03970633659,32650.0397063366,6189.96029366341
"137","344",31480,39050,-0.910454571453086,0.215786763754209,"aug",0,1,1573.67313405924,33053.6731340592,5996.32686594076
"138","353",32940,40000,0.405015821082609,1.83999713555034,"aug",0,1,1945.12105810596,34885.121058106,5114.87894189404
"139","354",31930,39070,-0.505001368274276,0.249980666318343,"aug",0,1,1730.26519706719,33660.2651970672,5409.73480293281
"140","355",32680,39200,0.170753970357075,0.472241032985186,"aug",0,1,1788.70705380036,34468.7070538004,4731.29294619964
"141","356",31560,39070,-0.838374001999077,0.249980666318343,"aug",0,1,1587.89588973951,33147.8958897395,5922.10411026049
"142","365",31800,38710,-0.622132293637042,-0.365509579835979,"aug",0,1,1556.98684430554,33356.9868443055,5353.01315569445
"143","366",31610,38600,-0.793323646090319,-0.553576043938688,"aug",0,1,1482.74294020614,33092.7429402061,5507.25705979386
"144","367",31560,39000,-0.838374001999077,0.130302007343891,"aug",0,1,1572.08565009843,33132.0856500984,5867.91434990157
"145","368",32010,39450,-0.432920798820267,0.899664815036799,"aug",0,1,1785.5063473194,33795.5063473194,5654.49365268061
"146","377",31890,38840,-0.54104165300128,-0.143249213169136,"aug",0,1,1571.35536481051,33461.3553648105,5378.64463518949
"147","378",31720,39240,-0.694212863091055,0.540628838113443,"aug",0,1,1755.60943165752,33475.6094316575,5764.39056834248
"148","380",31340,38970,-1.03659556799761,0.0790111534976953,"aug",0,1,1563.6803946949,32903.6803946949,6066.3196053051
"149","389",31980,38870,-0.459951012365518,-0.0919583593229524,"aug",0,1,1585.77101169556,33565.7710116956,5304.22898830444
"150","390",31780,38960,-0.640152436000545,0.0619142022156341,"aug",0,1,1584.84784741551,33364.8478474155,5595.15215258449
"151","391",31280,38660,-1.09065599508811,-0.450994336246309,"aug",0,1,1474.25148695953,32754.2514869595,5905.74851304047
"152","392",31630,38850,-0.775303503726817,-0.126152261887075,"aug",0,1,1564.8424643294,33194.8424643294,5655.1575356706
"153","401",31620,38920,-0.784313574908567,-0.00647360291262249,"aug",0,1,1568.32186654122,33188.3218665412,5731.67813345878
"154","402",31560,38690,-0.838374001999077,-0.399703482400113,"aug",0,1,1502.85759268241,33062.8575926824,5627.14240731759
"155","403",31350,38150,-1.02758549681585,-1.3229388516316,"aug",0,1,1187.29656336067,32537.2965633607,5612.70343663933
